0	665	87	¹­¼ý»¤ÎÀ	0	1	10	0 
0	666	86	¹­¼ý»¤ÎÀ	0	1	10	0 
0	671	94	¹­¼ý»¤ÎÀ	0	1	10	0 
0	672	93	¹­¼ý»¤ÎÀ	0	1	10	0 
0	340	513	¹­¼ý»¤ÎÀ	0	1	10	0 
0	341	514	¹­¼ý»¤ÎÀ	0	1	10	0 
0	367	487	¹­¼ý»¤ÎÀ	0	1	10	0 
0	368	488	¹­¼ý»¤ÎÀ	0	1	10	0 
0	318	244	¹­¼ý»¤ÎÀ	0	1	10	0 
0	300	207	¹­¼ý»¤ÎÀ	0	1	10	0 
0	310	227	¹­¼ý»¤ÎÀ	0	1	10	0 
0	313	230	¹­¼ý»¤ÎÀ	0	1	10	0 
0	309	286	¹­¼ý»¤ÎÀ	0	1	10	0 
0	329	289	¹­¼ý»¤ÎÀ	0	1	10	0 
0	355	280	¹­¼ý»¤ÎÀ	0	1	10	0 
0	362	301	¹­¼ý»¤ÎÀ	0	1	10	0 
0	374	291	¹­¼ý»¤ÎÀ	0	1	10	0 
0	334	272	¹­¼ý»¤ÎÀ	0	1	10	0 
0	321	257	¹­¼ý»¤ÎÀ	0	1	10	0 
0	301	319	¹­¼ý»¤ÎÀ	0	1	10	0 
0	335	309	¹­¼ý»¤ÎÀ	0	1	10	0 
0	339	313	¹­¼ý»¤ÎÀ	0	1	10	0 
0	320	36	¹­¼ý»¤ÎÀ	0	1	10	0 
0	327	42	¹­¼ý»¤ÎÀ	0	1	10	0 
0	350	200	¼¦	25	3	2	0 
0	280	260	¼¦	25	3	2	0 
0	405	240	¼¦	25	3	2	0 
0	340	310	¼¦	25	3	2	0 
0	110	60	µ¾²ÝÈË	70	6	2	0 
0	110	80	¶à¹³Ã¨	60	6	2	0 
0	220	60	µ¾²ÝÈË	60	6	2	0 
0	150	130	¶à¹³Ã¨	50	6	2	0 
0	140	100	¶¤°ÒÃ¨	50	12	2	0 
0	90	240	°ëÊÞÈË	60	10	4	2 
0	65	185	¶¾Ö©Öë	30	10	4	0 
0	120	200	Ê³ÈË»¨	60	10	2	0 
0	210	185	Â¹	45	10	1	0 
0	265	125	Â¹	45	10	1	0 
0	310	95	Â¹	45	10	2	0 
0	225	20	¸òó¡	20	15	2	0 
0	280	380	¸òó¡	20	15	2	0 
0	340	80	¸òó¡	20	20	2	0 
0	60	300	¶¾Ö©Öë	60	15	4	0 
0	420	95	°ëÊÞÈË	50	15	1	0 
0	570	120	¶¾Ö©Öë	80	15	3	0 
0	615	110	¶¾Ö©Öë	50	10	3	0 
0	560	200	°ëÊÞÈË	90	15	1	0 
0	620	370	¶¾Ö©Öë	60	10	3	0 
0	420	380	Â¹	45	6	1	0 
0	470	330	Â¹	45	6	1	0 
0	395	420	¸òó¡	40	6	1	0 
0	475	500	Ê³ÈË»¨	90	15	1	0 
0	405	515	¸òó¡	30	6	1	0 
0	500	400	µ¾²ÝÈË	50	6	1	0 
0	510	410	¶à¹³Ã¨	50	6	1	0 
0	510	410	¶¤°ÒÃ¨	50	6	1	0 
0	560	320	°ëÊÞÈË	90	6	1	0 
0	480	450	°ëÊÞÈË	60	6	1	0 
0	600	400	É­ÁÖÑ©ÈË	70	6	1	0 
0	600	400	°ëÊÞÈË	80	6	1	0 
0	610	405	Ê³ÈË»¨	60	6	1	0 
0	650	420	¶¾Ö©Öë	30	6	3	0 
0	600	580	Â¹	40	10	1	0 
0	663	661	¼¦	20	15	1	0 
0	540	530	µ¾²ÝÈË	70	15	1	0 
0	550	550	Â¹	70	15	1	0 
0	570	610	Â¹	50	15	1	0 
